No Concentration,Artificial Intelligence Concentration,Cybersecurity Concentration,Computer Systems Concentration
COMP 417,COMP 417,COMP 417,COMP 417
COMP 460,COMP 460,COMP 460,COMP 460
Choose four out of the following (3* credit hours each),Choose four out of the following (3* credit hours each),Choose four out of the following (3* credit hours each),Choose four out of the following (3* credit hours each)
COMP 413 (required),COMP 479 (required),COMP 401 (required),COMP 410 (required)
COMP 410,,COMP 431,COMP 405
COMP 433,,COMP 445
COMP 436,One of th following courses from the three choices below,COMP 447
COMP 439,COMP 429,COMP 448,COMP 443
COMP 442,COMP 487,COMP 449,COMP 451
COMP 443,COMP 488,COMP 452,COMP 453
COMP 453,,COMP 488,COMP 462
COMP 464,,Students may petiition the GPD to substitute COMP 460 with a course from the list above,COMP 464
COMP 471,Two of the following courses from the 3 the 3 choices above,,COMP 472
COMP 473,COMP 406,,Students may petition the GPD to substitute COMP 460 with a course from the list above
COMP 474,COMP 458,,
,COMP 488,,
Four 400-level COMP three-credit electives,Four 400-level COMP three-credit electives,Four 400-level COMP three-credit electives,Four 400-level COMP three-credit electives
